subj,exp,tp,self,other,fair,resp,rt,given,gen
7,1,2,15,1,14,0,0.222377519843576,9,0
7,1,10,11,0,11,0,0.223729378922144,10,0
7,1,2,14,3,11,0,0.233559315198363,7,0
7,1,10,11,2,9,0,0.250948372398852,8,0
7,1,10,10,9,1,0,0.483227673521469,1,0
7,1,2,9,18,-9,0,0.217751581232733,-8,0
7,1,10,19,3,16,0,0.315809750027256,7,0
7,1,2,17,2,15,0,0.297889186411339,8,0
7,1,2,9,19,-10,0,0.288842947185913,-9,0
7,1,10,11,8,3,0,0.199360726073792,2,0
7,1,2,20,7,13,0,0.233378969576734,3,0
7,1,2,9,20,-11,0,0.390788077394973,-10,0
7,1,10,10,18,-8,0,0.273673020918068,-8,0
7,1,2,9,17,-8,0,0.313896326922986,-7,0
7,1,10,8,15,-7,0,0.37571455539728,-5,0
7,1,2,13,5,8,0,0.252026047481195,5,0
7,1,10,9,16,-7,0,0.300767751854437,-6,0
7,1,10,11,8,3,0,0.283487561831862,2,0
7,1,2,9,19,-10,0,0.266025193403038,-9,0
7,1,2,14,1,13,0,0.242411279665248,9,0
7,1,10,2,13,-11,0,0.195479996116774,-3,0
7,1,2,3,19,-16,0,0.181587884588225,-9,0
7,1,2,11,1,10,0,0.168947562309768,9,0
7,1,2,12,5,7,0,0.180991497727518,5,0
7,1,10,19,5,14,0,0.280625857969426,5,0
7,1,2,9,17,-8,0,0.215270729207987,-7,0
7,1,10,9,20,-11,0,0.168486801227118,-10,0
7,1,10,11,0,11,0,0.540815110911353,10,0
7,1,2,13,9,4,0,0.289329000639555,1,0
7,1,10,10,2,8,0,0.22410216652861,8,0
7,1,10,7,12,-5,0,0.249726274196291,-2,0
7,1,2,14,3,11,0,0.193485564104776,7,0
7,1,2,14,9,5,0,0.180342693347484,1,0
7,1,10,18,10,8,0,0.511672430762701,0,0
7,1,10,11,4,7,0,0.236706932861125,6,0
7,1,10,4,16,-12,0,0.31733792261366,-6,0
7,1,2,7,11,-4,0,0.242486057119095,-1,0
7,1,2,11,0,11,0,0.23548813366142,10,0
7,1,10,11,1,10,0,0.267970506891288,9,0
7,1,10,10,19,-9,0,0.284305348606722,-9,0
7,1,2,11,3,8,0,0.266780665631813,7,0
7,1,2,2,14,-12,0,0.274438023603579,-4,0
7,1,2,13,2,11,0,0.434239276859444,8,0
7,1,2,14,4,10,0,0.531281718562241,6,0
7,1,10,11,0,11,0,0.712638306216832,10,0
7,1,10,1,12,-11,0,0.950698930941144,-2,0
7,1,2,20,4,16,0,0.298553752712905,6,0
7,1,10,9,20,-11,0,0.296587912078394,-10,0
7,1,10,9,17,-8,0,0.607384273640491,-7,0
7,1,10,9,16,-7,0,0.346407658093085,-6,0
7,1,2,8,13,-5,0,0.318389205654967,-3,0
7,1,2,13,5,8,0,0.554393083821196,5,0
7,1,2,13,6,7,0,0.230693579218496,4,0
7,1,10,9,20,-11,0,0.287440136798978,-10,0
7,1,10,10,19,-9,0,2.27054373106512,-9,0
7,1,10,16,0,16,0,1.35888376321236,10,0
7,1,10,18,10,8,0,1.69074867260497,0,0
7,1,2,9,19,-10,0,0.225806652630126,-9,0
7,1,10,16,2,14,0,2.13915791055479,8,0
7,1,2,9,16,-7,0,0.215700699569425,-6,0
7,1,2,9,18,-9,0,0.449293004825449,-8,0
7,1,10,9,17,-8,0,2.75339458486269,-7,0
7,1,10,7,14,-7,0,0.301525423419662,-4,0
7,1,2,9,18,-9,0,0.203387345383817,-8,0
7,1,2,3,19,-16,0,0.181538032949902,-9,0
7,1,2,14,2,12,0,0.56896735634291,8,0
7,1,2,16,0,16,0,0.38056959160167,10,0
7,1,10,11,0,11,0,0.255481572305143,10,0
7,1,10,7,16,-9,0,0.327281857855269,-6,0
7,1,2,11,1,10,0,0.276372706961411,9,0
7,1,10,11,2,9,0,0.291879131775204,8,0
7,1,2,11,2,9,0,0.202182475313748,8,0
7,1,10,2,11,-9,0,0.187310559198522,-1,0
7,1,2,11,1,10,0,0.238351670304837,9,0
7,1,10,9,19,-10,0,0.326983114591712,-9,0
