subj,exp,tp,self,other,fair,resp,rt,given,gen
2,1,10,5,83,-78,1,2.78228087056141,33,0
2,1,10,53,23,30,0,2.9466109507448,27,0
2,1,10,48,80,-32,1,2.50459234822483,30,0
2,1,10,50,43,7,0,2.61652380297801,7,0
2,1,10,53,40,13,0,1.56391294387231,10,0
2,1,10,53,0,53,0,4.42443326460489,50,0
2,1,10,30,100,-70,0,4.00366405498244,-50,0
2,1,10,48,60,-12,1,5.3915209163797,10,0
2,1,10,100,15,85,0,3.27623037800731,35,0
2,1,10,48,100,-52,1,4.88536522336744,50,0
2,1,10,50,100,-50,1,6.50993741122511,50,0
2,1,10,50,100,-50,1,2.89395793814401,50,0
2,1,10,25,55,-30,1,3.23865182130612,5,0
2,1,10,85,15,70,0,2.69725507445582,35,0
2,1,10,53,23,30,0,2.88989507445604,27,0
2,1,10,100,15,85,0,3.1704547995414,35,0
2,1,10,28,85,-57,1,3.63975770904926,35,0
2,1,10,48,60,-12,1,3.5783583963339,10,0
2,1,10,98,38,60,0,5.16766020618525,12,0
2,1,10,5,83,-78,1,3.23687880870511,33,0
2,1,1.5,48,80,-32,1,0.890989965635526,30,0
2,1,1.5,3,100,-97,1,0.675413699885212,50,0
2,1,1.5,75,0,75,0,0.700786071019138,50,0
2,1,1.5,100,0,100,0,0.804809530355669,50,0
2,1,1.5,80,45,35,0,0.664778923252925,5,0
2,1,1.5,100,0,100,0,0.746035830469737,50,0
2,1,1.5,48,100,-52,0,0.71270744559024,-50,0
2,1,1.5,30,100,-70,0,0.928676288659517,-50,0
2,1,1.5,28,85,-57,1,0.895991202749428,35,0
2,1,1.5,50,43,7,0,0.808590148912117,7,0
2,1,1.5,0,68,-68,1,0.836560274914518,18,0
2,1,1.5,53,40,13,1,0.583249301260366,-10,0
2,1,1.5,3,100,-97,1,0.843790515464207,50,0
2,1,1.5,53,0,53,0,0.582518029782477,50,0
2,1,1.5,25,55,-30,1,0.795116059564862,5,0
2,1,1.5,0,68,-68,1,0.719822222222319,18,0
2,1,1.5,75,0,75,1,0.79104953035494,-50,0
2,1,1.5,85,15,70,1,0.595679083619871,-35,0
2,1,1.5,98,38,60,0,0.856246323024607,12,0
2,1,1.5,80,45,35,0,0.650272989690166,5,0
2,1,10,40,90,-50,1,2.44452361970252,40,0
2,1,10,66,18,48,0,2.91907702176468,32,0
2,1,10,38,65,-27,1,1.47038497136327,15,0
2,1,10,47,100,-53,1,3.19020132875085,50,0
2,1,10,58,45,13,0,2.45085947308144,5,0
2,1,10,53,34,19,0,2.59676517754815,16,0
2,1,10,48,88,-40,1,2.28941745704469,38,0
2,1,10,43,85,-42,1,2.34612746849962,35,0
2,1,10,83,43,40,0,3.78321741122545,7,0
2,1,10,55,11,44,0,3.10779821305823,39,0
2,1,10,62,45,17,0,3.14645809851118,5,0
2,1,10,81,7,74,0,4.54501021764008,43,0
2,1,10,93,39,54,0,4.94351908361932,11,0
2,1,10,23,87,-64,1,4.36622332187835,37,0
