,accept,yesrt,nort,avert,r.accept,r.rt,time,self,other,genoffer,gen,r.gen,comp.rt,subjval,subj
56,0.5116,2.0826401485535575,3.245299959049959,2.6504832,0.0,1.174,10.0,94,17,-1,0.48839999999999995,1.0,3.245299959049959,-0.10212037030465114,57
57,0.5651,2.0932675632631392,3.286335709358473,2.6121328999999998,0.0,2.275,10.0,76,25,-1,0.43489999999999995,1.0,3.286335709358473,-0.06583270566014933,57
58,0.5829,2.0875707668553782,3.347719971229921,2.613179,0.0,1.463,10.0,79,35,-1,0.4171,1.0,3.347719971229921,-0.055031970001535646,57
59,0.5758,2.120815039944425,3.368462753418199,2.6500671999999996,0.0,2.944,10.0,51,5,-1,0.4242,1.0,3.368462753418199,-0.06168444922077834,57
60,0.5776,0.9913511080332411,1.165230587121212,1.0647978,0.0,0.852,1.5,24,77,1,0.5776,0.0,1.165230587121212,0.1913833232593456,57
61,0.508,1.010991338582677,1.151290650406504,1.0800185999999998,0.0,0.617,1.5,14,54,1,0.508,0.0,1.151290650406504,0.12242604286845704,57
62,0.5026,1.0108635097493037,1.1505749899477282,1.080356,0.0,0.528,1.5,5,83,1,0.5026,0.0,1.1505749899477282,0.11937947955171646,57
63,0.1947,0.6697868515665126,1.0382261269092266,0.9664910000000002,0.0,0.658,1.5,99,0,-1,0.8053,1.0,1.0382261269092266,-0.6811214974953084,57
64,0.5751,0.6993013388975831,1.2092986585078842,0.9159992,0.0,0.814,1.5,96,39,-1,0.42490000000000006,1.0,1.2092986585078842,-0.18342988203152327,57
65,0.7729,0.6551233018501748,1.2703712021136062,0.7948461,1.0,0.685,1.5,60,40,-1,0.22709999999999997,0.0,0.6551233018501748,0.0764827540528698,57
66,0.6444,0.9745386405959031,1.1857564679415074,1.0496477,1.0,0.76,1.5,37,92,1,0.6444,1.0,0.9745386405959031,0.2633351653002497,57
67,0.3103,0.6810950692877861,1.106541249818762,0.9745253,1.0,0.913,1.5,95,12,-1,0.6897,0.0,0.6810950692877861,-0.5068163385027122,57
68,0.3865,0.6983138421733506,1.1442110839445803,0.9718718,0.0,0.603,1.5,97,22,-1,0.6134999999999999,1.0,1.1442110839445803,-0.3982554533486967,57
69,0.8693,0.6018445875992177,1.2961736801836268,0.6925934,1.0,0.714,1.5,53,49,-1,0.13070000000000004,0.0,0.6018445875992177,0.23473168380217785,57
70,0.2562,0.6691237314597971,1.085656493681097,0.9789408,0.0,0.978,1.5,99,9,-1,0.7438,1.0,1.085656493681097,-0.5710326736295069,57
71,0.8465,0.6201805079740107,1.297828664495114,0.7241995000000001,1.0,0.874,1.5,51,44,-1,0.15349999999999997,0.0,0.6201805079740107,0.1873312563513853,57
72,0.7205,0.6685725190839695,1.25208228980322,0.8316635000000001,0.0,0.741,1.5,59,33,-1,0.27949999999999997,1.0,1.25208228980322,-0.0022618716054271792,57
73,0.5898,0.9844764326890472,1.168580204778157,1.0599958,1.0,0.814,1.5,32,61,1,0.5898,1.0,0.9844764326890472,0.20570175073491292,57
74,0.8681,0.6070546020043774,1.2910394238059135,0.6972722000000001,0.0,0.755,1.5,53,49,-1,0.13190000000000002,1.0,1.2910394238059135,0.23473168380217785,57
75,0.3913,0.710125990288781,1.1442253983900117,0.9743623000000001,0.0,0.899,1.5,86,16,-1,0.6087,1.0,1.1442253983900117,-0.39596783620419673,57
